active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.884765625,287.98263836557925,128,1,[0],False,0.109375,5.477225575051661,0.109375,initial,0,5.477225575051661,0,-1,mesh_star
False,False,1,0.125,False,False,0.8896484375,289.4218374622067,128,1,[1],False,0.1171875,5.196152422706632,0.1171875,initial,0,5.196152422706632,0,-1,mesh_star
False,False,2,0.125,False,False,0.884765625,287.6769020967794,128,1,[2],False,0.078125,4.242640687119285,0.078125,initial,0,4.242640687119285,0,-1,mesh_star
False,False,3,0.125,False,False,0.884765625,287.7220881336711,128,1,[3],False,0.09375,4.242640687119285,0.09375,initial,0,4.242640687119285,0,-1,mesh_star
False,False,4,0.125,False,False,0.884765625,288.0208325798674,128,1,[4],False,0.078125,4.242640687119285,0.078125,initial,0,4.242640687119285,0,-1,mesh_star
False,False,5,0.125,False,False,0.890625,290.1344515909822,128,1,[5],False,0.125,6.164414002968976,0.125,initial,0,6.164414002968976,0,-1,mesh_star
False,False,6,0.125,False,False,0.89453125,291.23530005821755,128,1,[6],False,0.15625,7.0710678118654755,0.15625,initial,0,7.0710678118654755,0,-1,mesh_star
False,False,7,0.125,False,False,0.875,284.80519658180395,128,1,[7],False,0.09375,5.830951894845301,0.09375,initial,0,5.830951894845301,0,-1,mesh_star
True,True,0,1.0,False,False,0.109375,38.47076812334269,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.109375,38.47076812334269,0.109375,after_step,7,38.47076812334269,7,0,mesh_star
True,True,1,1.0,False,False,0.1328125,46.238512086787566,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.1328125,46.238512086787566,0.1328125,after_step,7,46.238512086787566,7,0,mesh_star
True,True,2,1.0,False,False,0.1083984375,41.60528812542944,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.1083984375,41.60528812542944,0.1083984375,after_step,7,41.60528812542944,7,0,mesh_star
True,True,3,1.0,False,False,0.1982421875,69.15923654870693,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.1982421875,69.15923654870693,0.1982421875,after_step,7,69.15923654870693,7,0,mesh_star
True,True,4,1.0,False,False,0.09765625,34.52535300326414,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.09765625,34.52535300326414,0.09765625,after_step,7,34.52535300326414,7,0,mesh_star
True,True,5,1.0,False,False,0.1953125,66.1362230551458,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.1953125,66.1362230551458,0.1953125,after_step,7,66.1362230551458,7,0,mesh_star
True,True,6,1.0,False,False,0.095703125,33.76388603226827,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.095703125,33.76388603226827,0.095703125,after_step,7,33.76388603226827,7,0,mesh_star
True,True,7,1.0,False,False,0.166015625,57.706152185014034,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.166015625,57.706152185014034,0.166015625,after_step,7,57.706152185014034,7,0,mesh_star
False,True,0,1.0,False,False,0.109375,38.47076812334269,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.109375,38.47076812334269,0.109375,after_step,0,38.47076812334269,1,1,mesh_star
False,True,1,1.0,False,False,0.1328125,46.238512086787566,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.1328125,46.238512086787566,0.1328125,after_step,0,46.238512086787566,1,1,mesh_star
False,True,2,1.0,False,False,0.1083984375,41.60528812542944,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.1083984375,41.60528812542944,0.1083984375,after_step,0,41.60528812542944,1,1,mesh_star
False,True,3,1.0,False,False,0.1982421875,69.15923654870693,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.1982421875,69.15923654870693,0.1982421875,after_step,0,69.15923654870693,1,1,mesh_star
False,True,4,1.0,False,False,0.09765625,34.52535300326414,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.09765625,34.52535300326414,0.09765625,after_step,0,34.52535300326414,1,1,mesh_star
False,True,5,1.0,False,False,0.1953125,66.1362230551458,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.1953125,66.1362230551458,0.1953125,after_step,0,66.1362230551458,1,1,mesh_star
False,True,6,1.0,False,False,0.095703125,33.76388603226827,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.095703125,33.76388603226827,0.095703125,after_step,0,33.76388603226827,1,1,mesh_star
True,False,7,1.0,False,False,0.166015625,57.706152185014034,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.166015625,57.706152185014034,0.166015625,after_step,7,57.706152185014034,0,1,mesh_star
