active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.884765625,287.98263836557925,128,1,[0],False,0.109375,5.477225575051661,0.109375,initial,0,5.477225575051661,0,-1,tree
False,False,1,0.125,False,False,0.8896484375,289.35963782117227,128,1,[1],False,0.1171875,5.0,0.1171875,initial,0,5.0,0,-1,tree
False,False,2,0.125,False,False,0.884765625,287.6803781977492,128,1,[2],False,0.078125,3.7416573867739413,0.078125,initial,0,3.7416573867739413,0,-1,tree
False,False,3,0.125,False,False,0.884765625,287.7255636887345,128,1,[3],False,0.09375,4.242640687119285,0.09375,initial,0,4.242640687119285,0,-1,tree
False,False,4,0.125,False,False,0.884765625,288.0208325798674,128,1,[4],False,0.078125,4.242640687119285,0.078125,initial,0,4.242640687119285,0,-1,tree
False,False,5,0.125,False,False,0.884765625,288.13885541523206,128,1,[5],False,0.109375,5.291502622129181,0.109375,initial,0,5.291502622129181,0,-1,tree
False,False,6,0.125,False,False,0.89453125,291.38977332775426,128,1,[6],False,0.15625,6.6332495807108,0.15625,initial,0,6.6332495807108,0,-1,tree
False,False,7,0.125,False,False,0.875,284.854348746864,128,1,[7],False,0.078125,4.0,0.078125,initial,0,4.0,0,-1,tree
False,True,0,0.125,False,False,0.884765625,287.98263836557925,128,1,[0],False,0.109375,5.477225575051661,0.109375,after_step,0,5.477225575051661,1,0,tree
True,False,1,0.25,False,False,0.7744140625,252.1844563013351,256,2,"[0, 1]",False,0.09765625,9.1104335791443,0.09765625,after_step,1,9.1104335791443,0,0,tree
False,True,2,0.125,False,False,0.884765625,287.6803781977492,128,1,[2],False,0.078125,3.7416573867739413,0.078125,after_step,0,3.7416573867739413,1,0,tree
True,False,3,0.25,False,False,0.76953125,250.10797668207226,256,2,"[2, 3]",False,0.0859375,7.483314773547883,0.0859375,after_step,1,7.483314773547883,0,0,tree
False,True,4,0.125,False,False,0.884765625,288.0208325798674,128,1,[4],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,1,0,tree
True,False,5,0.25,False,False,0.76953125,250.98605538953754,256,2,"[4, 5]",False,0.09375,8.831760866327848,0.09375,after_step,1,8.831760866327848,0,0,tree
False,True,6,0.125,False,False,0.89453125,291.38977332775426,128,1,[6],False,0.15625,6.6332495807108,0.15625,after_step,0,6.6332495807108,1,0,tree
True,False,7,0.25,False,False,0.76953125,250.87845662790576,256,2,"[6, 7]",False,0.078125,7.483314773547883,0.078125,after_step,1,7.483314773547883,0,0,tree
False,False,0,0.125,False,False,0.884765625,287.98263836557925,128,1,[0],False,0.109375,5.477225575051661,0.109375,after_step,0,5.477225575051661,0,1,tree
False,True,1,0.25,False,False,0.7744140625,252.1844563013351,256,2,"[0, 1]",False,0.09765625,9.1104335791443,0.09765625,after_step,0,9.1104335791443,1,1,tree
False,False,2,0.125,False,False,0.884765625,287.6803781977492,128,1,[2],False,0.078125,3.7416573867739413,0.078125,after_step,0,3.7416573867739413,0,1,tree
True,False,3,0.5,False,False,0.5439453125,177.3781271746886,512,4,"[0, 1, 2, 3]",False,0.087890625,15.968719422671311,0.087890625,after_step,1,15.968719422671311,0,1,tree
False,False,4,0.125,False,False,0.884765625,288.0208325798674,128,1,[4],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,0,1,tree
False,True,5,0.25,False,False,0.76953125,250.98605538953754,256,2,"[4, 5]",False,0.09375,8.831760866327848,0.09375,after_step,0,8.831760866327848,1,1,tree
False,False,6,0.125,False,False,0.89453125,291.38977332775426,128,1,[6],False,0.15625,6.6332495807108,0.15625,after_step,0,6.6332495807108,0,1,tree
True,False,7,0.5,False,False,0.5390625,176.61823235442031,512,4,"[4, 5, 6, 7]",False,0.0859375,15.748015748023622,0.0859375,after_step,1,15.748015748023622,0,1,tree
False,False,0,0.125,False,False,0.884765625,287.98263836557925,128,1,[0],False,0.109375,5.477225575051661,0.109375,after_step,0,5.477225575051661,0,2,tree
False,False,1,0.25,False,False,0.7744140625,252.1844563013351,256,2,"[0, 1]",False,0.09765625,9.1104335791443,0.09765625,after_step,0,9.1104335791443,0,2,tree
False,False,2,0.125,False,False,0.884765625,287.6803781977492,128,1,[2],False,0.078125,3.7416573867739413,0.078125,after_step,0,3.7416573867739413,0,2,tree
False,True,3,0.5,False,False,0.5439453125,177.3781271746886,512,4,"[0, 1, 2, 3]",False,0.087890625,15.968719422671311,0.087890625,after_step,0,15.968719422671311,1,2,tree
False,False,4,0.125,False,False,0.884765625,288.0208325798674,128,1,[4],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,0,2,tree
False,False,5,0.25,False,False,0.76953125,250.98605538953754,256,2,"[4, 5]",False,0.09375,8.831760866327848,0.09375,after_step,0,8.831760866327848,0,2,tree
False,False,6,0.125,False,False,0.89453125,291.38977332775426,128,1,[6],False,0.15625,6.6332495807108,0.15625,after_step,0,6.6332495807108,0,2,tree
True,False,7,1.0,False,False,0.0830078125,30.04995840263344,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0830078125,30.04995840263344,0.0830078125,after_step,1,30.04995840263344,0,2,tree
