active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.884765625,288.07290743837746,128,1,[0],False,0.078125,4.242640687119285,0.078125,initial,0,4.242640687119285,0,-1,tree
False,False,1,0.125,False,False,0.888671875,288.94636180440136,128,1,[1],False,0.109375,5.830951894845301,0.109375,initial,0,5.830951894845301,0,-1,tree
False,False,2,0.125,False,False,0.884765625,288.2151973786254,128,1,[2],False,0.078125,4.242640687119285,0.078125,initial,0,4.242640687119285,0,-1,tree
False,False,3,0.125,False,False,0.884765625,287.59346306896475,128,1,[3],False,0.09375,4.242640687119285,0.09375,initial,0,4.242640687119285,0,-1,tree
False,False,4,0.125,False,False,0.884765625,287.7881165024018,128,1,[4],False,0.125,5.830951894845301,0.125,initial,0,5.830951894845301,0,-1,tree
False,False,5,0.125,False,False,0.875,284.94911826499833,128,1,[5],False,0.046875,3.1622776601683795,0.046875,initial,0,3.1622776601683795,0,-1,tree
False,False,6,0.125,False,False,0.875,284.7735942814923,128,1,[6],False,0.09375,5.830951894845301,0.09375,initial,0,5.830951894845301,0,-1,tree
False,False,7,0.125,False,False,0.884765625,287.53086790812563,128,1,[7],False,0.09375,4.47213595499958,0.09375,initial,0,4.47213595499958,0,-1,tree
False,True,0,0.125,False,False,0.884765625,288.07290743837746,128,1,[0],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,1,0,tree
True,False,1,0.25,False,False,0.7734375,251.61875923706484,256,2,"[0, 1]",False,0.09375,9.486832980505138,0.09375,after_step,1,9.486832980505138,0,0,tree
False,True,2,0.125,False,False,0.884765625,288.2151973786254,128,1,[2],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,1,0,tree
True,False,3,0.25,False,False,0.76953125,250.3797116381437,256,2,"[2, 3]",False,0.0859375,7.615773105863909,0.0859375,after_step,1,7.615773105863909,0,0,tree
False,True,4,0.125,False,False,0.884765625,287.7881165024018,128,1,[4],False,0.125,5.830951894845301,0.125,after_step,0,5.830951894845301,1,0,tree
True,False,5,0.25,False,False,0.759765625,247.3095226634025,256,2,"[4, 5]",False,0.0859375,7.615773105863909,0.0859375,after_step,1,7.615773105863909,0,0,tree
False,True,6,0.125,False,False,0.875,284.7735942814923,128,1,[6],False,0.09375,5.830951894845301,0.09375,after_step,0,5.830951894845301,1,0,tree
True,False,7,0.25,False,False,0.759765625,246.98582955303326,256,2,"[6, 7]",False,0.0703125,6.782329983125268,0.0703125,after_step,1,6.782329983125268,0,0,tree
False,False,0,0.125,False,False,0.884765625,288.07290743837746,128,1,[0],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,0,1,tree
False,True,1,0.25,False,False,0.7734375,251.61875923706484,256,2,"[0, 1]",False,0.09375,9.486832980505138,0.09375,after_step,0,9.486832980505138,1,1,tree
False,False,2,0.125,False,False,0.884765625,288.2151973786254,128,1,[2],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,0,1,tree
True,False,3,0.5,False,False,0.54296875,176.6578614157887,512,4,"[0, 1, 2, 3]",False,0.08984375,16.3707055437449,0.08984375,after_step,1,16.3707055437449,0,1,tree
False,False,4,0.125,False,False,0.884765625,287.7881165024018,128,1,[4],False,0.125,5.830951894845301,0.125,after_step,0,5.830951894845301,0,1,tree
False,True,5,0.25,False,False,0.759765625,247.3095226634025,256,2,"[4, 5]",False,0.0859375,7.615773105863909,0.0859375,after_step,0,7.615773105863909,1,1,tree
False,False,6,0.125,False,False,0.875,284.7735942814923,128,1,[6],False,0.09375,5.830951894845301,0.09375,after_step,0,5.830951894845301,0,1,tree
True,False,7,0.5,False,False,0.51953125,169.28083175599062,512,4,"[4, 5, 6, 7]",False,0.078125,13.784048752090222,0.078125,after_step,1,13.784048752090222,0,1,tree
False,False,0,0.125,False,False,0.884765625,288.07290743837746,128,1,[0],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,0,2,tree
False,False,1,0.25,False,False,0.7734375,251.61875923706484,256,2,"[0, 1]",False,0.09375,9.486832980505138,0.09375,after_step,0,9.486832980505138,0,2,tree
False,False,2,0.125,False,False,0.884765625,288.2151973786254,128,1,[2],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,0,2,tree
False,True,3,0.5,False,False,0.54296875,176.6578614157887,512,4,"[0, 1, 2, 3]",False,0.08984375,16.3707055437449,0.08984375,after_step,0,16.3707055437449,1,2,tree
False,False,4,0.125,False,False,0.884765625,287.7881165024018,128,1,[4],False,0.125,5.830951894845301,0.125,after_step,0,5.830951894845301,0,2,tree
False,False,5,0.25,False,False,0.759765625,247.3095226634025,256,2,"[4, 5]",False,0.0859375,7.615773105863909,0.0859375,after_step,0,7.615773105863909,0,2,tree
False,False,6,0.125,False,False,0.875,284.7735942814923,128,1,[6],False,0.09375,5.830951894845301,0.09375,after_step,0,5.830951894845301,0,2,tree
True,False,7,1.0,False,False,0.078125,27.964262908219126,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.078125,27.964262908219126,0.078125,after_step,1,27.964262908219126,0,2,tree
